name,Location,Latitude,Longitude,link
Halal Hut Atsugi,"Eiko Atsugi Vila 104 3-15-14 Asahi, 3 Chome-15 Midorigaoka, Atsugi-shi, Kanagawa-ken, 243-0014 Japan",35.435806,139.368407,https://www.halal-navi.com/place/halal-hut-atsugi/4qxnn8xp
Al Noor Otaru Halal Grocery Shop,"21-21 Nishikimachi, Otaru-shi, Hokkaidō, 047-0039 Japan",43.209546,140.997551,https://www.halal-navi.com/place/al-noor-otaru-halal-grocery-shop/76xp9454
Zafar Halal Food Store,"7 Namiyosecho, Atsuta Ward,, Nagoya-shi, Aichi-ken, 456-0003 Japan",35.140866,136.906102,https://www.halal-navi.com/place/zafar-halal-food-store/qp52nq5y
SUNSHINE HALAL MART,"Sunshine60 Street, Toshima-ku, Tōkyō-to, 170-0013 Japan",35.7293254,139.715299,https://www.halal-navi.com/place/sunshine-halal-mart/6nx9ny95
業務スーパー与野店,"〒338-0006 Saitama-ken, Saitama-shi, Saitama-shi, Saitama-ken, 338-0006 Japan",35.881575,139.608118,https://www.halal-navi.com/place/業務スーパー与野店/yvxz238x
SMCA halal food,"560-8, Saitama-shi, Saitama-ken, 338-0826 Japan",35.867982,139.60819,https://www.halal-navi.com/place/smca-halal-food/8r5rpvq5
Asia Halal Food,"Japan, Kita-ku, Tōkyō-to, 114-0031 Japan",35.762563,139.721763,https://www.halal-navi.com/place/asia-halal-food/9zx83qy5
A-プライス 府中店,"西原町1-9-1, Fuchū-shi, Tōkyō-to, 183-0046 Japan",35.6832180005,139.459472982,https://www.halal-navi.com/place/a-プライス-府中店/8r539qq5
Laox Kyoto Mauri Store,"Japan, 〒600-8567 Kyōto-fu, Kyōto-shi, Kyōto-fu, 600-8567 Japan",35.003397,135.769563,https://www.halal-navi.com/place/laox-kyoto-mauri-store/4qxnpr4x
Don Quijote Namba,"Japan, 〒542-0075 Ōsaka-fu, Ōsaka-shi, Ōsaka-fu, 542-0075 Japan",34.664617,135.503032,https://www.halal-navi.com/place/don-quijote-namba/qp523wyx
Laox Daimaru,"Japan, 〒542-0085 Ōsaka-fu, Ōsaka-shi, Ōsaka-fu, 542-0085 Japan",34.66971,135.501108,https://www.halal-navi.com/place/laox-daimaru/6n59nq9x
Gyomu Tenma,"Japan, 〒530-0033 Ōsaka-fu, Ōsaka-shi, Ōsaka-fu, 530-0033 Japan",34.707544,135.51367,https://www.halal-navi.com/place/gyomu-tenma/yv5z2485
AL-FLAH SUPER MARKET,"池袋2-41-2, Toshima-ku, Tōkyō-to, 171-0021 Japan",35.7329729441,139.709788516,https://www.halal-navi.com/place/al-flah-super-market/6yxwqp7x
BUMBU YA halal Asian Grocery Store,"6 Ishishiro Otokoyama, Yawata, Kyoto, 614-8374 Japan",34.8601128177,135.69657404,https://www.halal-navi.com/place/bumbu-ya-halal-asian-grocery-store/6y5w77p5
AGM Trading Halal Food,"１６, １, Yokohama-shi, Kanagawa-ken, 223-0053 Japan",35.5370976,139.6347931,https://www.halal-navi.com/place/agm-trading-halal-food/62568p85
Okinawa Halal Food,"Okinawa Prefecture, Japan, Naha-shi, Okinawa-ken, 900-0021 Japan",26.2124013,127.6809317,https://www.halal-navi.com/place/okinawa-halal-food/675q8v6x
Al-flah super market,"Japan, 〒170-0014 Tōkyō-to, Toshima-ku, Tōkyō-to, 170-0014 Japan",35.733183,139.709668,https://www.halal-navi.com/place/al-flah-super-market/79x784w5
Kaserta International Halal Bazaar,"37, 36, Nagoya-shi, Aichi-ken, 460-0011 Japan",35.1585855,136.9028045,https://www.halal-navi.com/place/kaserta-international-halal-bazaar/8r5393q5
Minato Halal Shop,"〒455-0832 Aichi-ken, Nagoya-shi, Nagoya-shi, Aichi-ken, 455-0832 Japan",35.095873,136.852301,https://www.halal-navi.com/place/minato-halal-shop/n85v4r85
Minato Halal Food,"1 Chome-34 Hōjin, Nagoya-shi, Aichi-ken, 455-0832 Japan",35.095867,136.852302,https://www.halal-navi.com/place/minato-halal-food/4qxnp44x
Kaseria,"3 Chome-36-37 Ōsu, Nagoya-shi, Aichi-ken, 460-0011 Japan",35.158586,136.902805,https://www.halal-navi.com/place/kaseria/6n59nw9x
Toko Indonesia Okubo,"18, 19, Shinjuku-ku, Tōkyō-to, 169-0073 Japan",35.701375,139.696305,https://www.halal-navi.com/place/toko-indonesia-okubo/yv5z2685
Gyoumu Super,"３６, ４, Kōbe-shi, Hyōgo-ken, 655-0027 Japan",34.6300403,135.0540176,https://www.halal-navi.com/place/gyoumu-super/8rxrp9qx
Gyomu Super Tarumi,"３６, ４, Kōbe-shi, Hyōgo-ken, 655-0027 Japan",34.6300403,135.0540176,https://www.halal-navi.com/place/gyomu-super-tarumi/9z583ryx
KOBE GROCERS,"２, １９, Kōbe-shi, Hyōgo-ken, 650-0004 Japan",34.695957,135.1892191,https://www.halal-navi.com/place/kobe-grocers/76xp7n65
Sanda Minoya,"８８２, 志手原, Sanda-shi, Hyōgo-ken, 669-1506 Japan",34.9174552,135.2391772,https://www.halal-navi.com/place/sanda-minoya/w35ynw9x
TATSUYA,"１９, １３, Kōbe-shi, Hyōgo-ken, 650-0022 Japan",34.6896139,135.1887618,https://www.halal-navi.com/place/tatsuya/67xq8365
ASLAN KEBAB,"Taitō-ku, Tōkyō-to, 110-0005 Japan",35.7096572,139.774572,https://www.halal-navi.com/place/aslan-kebab/79578zwx
Gyomu Super Kagurazaka,"Japan, Shinjuku-ku, Tōkyō-to, 162-0806 Japan",35.704923,139.729312,https://www.halal-navi.com/place/gyomu-super-kagurazaka/8rx39vqx
Gyomu Super Ueno,"2 Chome-3-4 Ueno, Taitō-ku, Tōkyō-to, 110-0005 Japan",35.708433,139.771602,https://www.halal-navi.com/place/gyomu-super-ueno/n8xv4p8x
Costco,"26, 868, Kōbe-shi, Hyōgo-ken, 655-0001 Japan",34.6700235,135.0545562,https://www.halal-navi.com/place/costco/4q5npy45
Rogers,"1, 11, Saitama-shi, Saitama-ken, 338-0821 Japan",35.869135,139.621233,https://www.halal-navi.com/place/rogers/qpx23yy5
Don Quijote Umeda,"16, 4, Ōsaka-shi, Ōsaka-fu, 530-0018 Japan",34.7032174,135.5009133,https://www.halal-navi.com/place/don-quijote-umeda/6nx9n895
Don QuiJote Umeda,"〒530-0018 Ōsaka-fu, Ōsaka-shi, Ōsaka-shi, Ōsaka-fu, 530-0018 Japan",34.70324,135.50111,https://www.halal-navi.com/place/don-quijote-umeda/yvxz2y8x
7-Eleven Akihabara Eki Kita,"Chiyoda City, Tokyo, 101-0022 Japan",35.699597,139.774191,https://www.halal-navi.com/place/7-eleven-akihabara-eki-kita/yvxz7245
